Score, Target, Expression
13,-65539,~((True)-(~((True)<<((True)<<(-((~(True))<<(True)))))))
13,509,~((True)-(~((~(True))<<((True)<<((True)-(~(True)))))))
13,-262145,~((True)<<(-((~((True)<<((True)-(~(True)))))<<(True))))
13,32766,~((True)-((True)<<(~((~(True))<<((True)-(~(True)))))))
13,4094,~((True)-((True)<<(((True)-(~(True)))<<(-(~(True))))))
13,79,~((True)-((~(-(~(True))))**(-((~(True))<<(True)))))
13,-1048576,-((True)<<(((True)-((~(True))<<(True)))<<(-(~(True)))))
13,-1048577,~((True)<<(((True)-((~(True))<<(True)))<<(-(~(True)))))
13,262143,~((~(True))<<(-(~((True)<<(-((~(True))<<(True)))))))
13,2147483648,-((~(True))**(~((~(True))<<(-((~(True))<<(True))))))
13,2147483647,~((~(True))**(~((~(True))<<(-((~(True))<<(True))))))
13,-340282366920938463463374607431768211456,-((~(True))**((True)<<(~((~(True))<<(-(~(True)))))))
13,-340282366920938463463374607431768211457,~((~(True))**((True)<<(~((~(True))<<(-(~(True)))))))
13,Too large to print!,-((~(True))**((True)<<((True)<<(-((~(True))<<(True))))))
13,Too large to print!,~((~(True))**((True)<<((True)<<(-((~(True))<<(True))))))
13,-16777216,-((~(True))**(((True)-(~(True)))<<((True)-(~(True)))))
13,-16777217,~((~(True))**(((True)-(~(True)))<<((True)-(~(True)))))
13,134217728,-((~(True))**(((True)-(~(True)))**((True)-(~(True)))))
13,134217727,~((~(True))**(((True)-(~(True)))**((True)-(~(True)))))
13,383,~((~(-(~(True))))<<(~((~(True))<<(-(~(True))))))
13,2186,~((~(-(~(True))))**(~((~(True))<<(-(~(True))))))
13,196607,~((~(-(~(True))))<<((True)<<(-((~(True))<<(True)))))
13,-43046721,-((~(-(~(True))))**((True)<<(-((~(True))<<(True)))))
13,-43046722,~((~(-(~(True))))**((True)<<(-((~(True))<<(True)))))
13,-385,~(((True)-(~(True)))<<(~((~(True))<<(-(~(True))))))
13,-2188,~(((True)-(~(True)))**(~((~(True))<<(-(~(True))))))
13,-196609,~(((True)-(~(True)))<<((True)<<(-((~(True))<<(True)))))
13,-625,-((~(-((~(True))<<(True))))**(-((~(True))<<(True))))
13,-626,~((~(-((~(True))<<(True))))**(-((~(True))<<(True))))
13,-1296,-(((~(-(~(True))))<<(True))**(-((~(True))<<(True))))
13,-1297,~(((~(-(~(True))))<<(True))**(-((~(True))<<(True))))
13,71,~((~((True)<<((True)-(~(True)))))<<((True)-(~(True))))
13,-57,~((~((~(True))<<(-(~(True)))))<<((True)-(~(True))))
13,-344,~((~((~(True))<<(-(~(True)))))**((True)-(~(True))))
13,342,~((~(((True)-(~(True)))<<(True)))**((True)-(~(True))))
13,68,-((~((True)<<(-((~(True))<<(True)))))<<(-(~(True))))
13,-289,-((~((True)<<(-((~(True))<<(True)))))**(-(~(True))))
13,-290,~((~((True)<<(-((~(True))<<(True)))))**(-(~(True))))
13,-60,-((~((~(True))<<((True)-(~(True)))))<<(-(~(True))))
13,-61,~((~((~(True))<<((True)-(~(True)))))<<(-(~(True))))
13,-225,-((~((~(True))<<((True)-(~(True)))))**(-(~(True))))
13,-226,~((~((~(True))<<((True)-(~(True)))))**(-(~(True))))
13,-144,-(((~(-(~(True))))<<(-(~(True))))**(-(~(True))))
13,-145,~(((~(-(~(True))))<<(-(~(True))))**(-(~(True))))
