Score, Target, Expression
15,6562,-(~((~(-(~(True))))**(-((~(True))**((True)-(~(True)))))))
15,-2186,-(~((~(-(~(True))))**(~((~(True))**((True)-(~(True)))))))
15,-47,-(~((~(-(~(True))))*((~(True))**((~(True))*(~(True))))))
15,43046720,~(-((~(-(~(True))))**((~(True))**((~(True))*(~(True))))))
15,43046722,-(~((~(-(~(True))))**((~(True))**((~(True))*(~(True))))))
15,-19682,-(~((~(-(~(True))))**((~(-(~(True))))**(-(~(True))))))
15,2188,-(~(((True)-(~(True)))**(~((~(True))**((True)-(~(True)))))))
15,19684,-(~(((True)-(~(True)))**((~(-(~(True))))**(-(~(True))))))
15,1295,~(-(((~(True))*((True)-(~(True))))**((~(True))*(~(True)))))
15,1297,-(~(((~(True))*((True)-(~(True))))**((~(True))*(~(True)))))
15,344,-(~((~((~(True))**((True)-(~(True)))))**((True)-(~(True)))))
15,-342,-(~((~((~(-(~(True))))*(~(True))))**((True)-(~(True)))))
15,288,~(-((~((~(True))**((~(True))*(~(True)))))**(-(~(True)))))
15,290,-(~((~((~(True))**((~(True))*(~(True)))))**(-(~(True)))))
15,99,~(-((~((~(-(~(True))))**(-(~(True)))))**(-(~(True)))))
15,101,-(~((~((~(-(~(True))))**(-(~(True)))))**(-(~(True)))))
15,57,-(~((~(((True)-(~(True)))**((True)-(~(True)))))*(~(True))))
15,-42,~(-(((~(-(~(True))))**((~(True))*(~(True))))//(~(True))))
15,-40,-(~(((~(-(~(True))))**((~(True))*(~(True))))//(~(True))))
15,-259,~((True)-(~((~(True))**(-((~(True))**((True)-(~(True))))))))
15,-65539,~((True)-(~((~(True))**((~(True))**((~(True))*(~(True)))))))
15,509,~((True)-(~((~(True))**((~(-(~(True))))**(-(~(True)))))))
15,122,~((True)-(~((~((~(True))*(~(True))))**((True)-(~(True))))))
15,-39,~((True)-(~(((~(True))*((True)-(~(True))))**(-(~(True))))))
15,-134217730,~((True)-((~(True))**(((True)-(~(True)))**((True)-(~(True))))))
15,1022,~((True)-((~(True))**((~((~(True))*(~(True))))*(~(True)))))
15,727,~((True)-((~(-(~(True))))**((~(-(~(True))))*(~(True)))))
15,623,~((True)-((~((~(True))*(~(True))))**((~(True))*(~(True)))))
15,-268435456,-((~(True))**(-(~(((True)-(~(True)))**((True)-(~(True)))))))
15,-268435457,~((~(True))**(-(~(((True)-(~(True)))**((True)-(~(True)))))))
15,2048,-((~(True))**(-(~((~((~(True))*(~(True))))*(~(True))))))
15,2047,~((~(True))**(-(~((~((~(True))*(~(True))))*(~(True))))))
15,-16385,~((~(True))**(~((True)-((~(True))**((~(True))*(~(True)))))))
15,-4294967296,-((~(True))**(-((~(True))**(-(~((~(True))*(~(True))))))))
15,-4294967297,~((~(True))**(-((~(True))**(-(~((~(True))*(~(True))))))))
15,2147483648,-((~(True))**(~((~(True))**(-(~((~(True))*(~(True))))))))
15,2147483647,~((~(True))**(~((~(True))**(-(~((~(True))*(~(True))))))))
15,9223372036854775808,-((~(True))**(~((~((True)-(~(True))))**((True)-(~(True))))))
15,9223372036854775807,~((~(True))**(~((~((True)-(~(True))))**((True)-(~(True))))))
15,-262145,~((~(True))**((True)-(~((~(True))**((~(True))*(~(True)))))))
15,-115792089237316195423570985008687907853269984665640564039457584007913129639936,-((~(True))**((~(True))**(-((~(True))**((True)-(~(True)))))))
15,-115792089237316195423570985008687907853269984665640564039457584007913129639937,~((~(True))**((~(True))**(-((~(True))**((True)-(~(True)))))))
15,Too large to print!,-((~(True))**((~(True))**((~(True))**((~(True))*(~(True))))))
15,Too large to print!,~((~(True))**((~(True))**((~(True))**((~(True))*(~(True))))))
15,72,-((~(True))*(((~(True))*((True)-(~(True))))**(-(~(True)))))
15,71,~((~(True))*(((~(True))*((True)-(~(True))))**(-(~(True)))))
15,-68719476736,-((~(True))**(((~(True))*((True)-(~(True))))**(-(~(True)))))
15,-68719476737,~((~(True))**(((~(True))*((True)-(~(True))))**(-(~(True)))))
15,7625597484986,~((~(-(~(True))))**(((True)-(~(True)))**((True)-(~(True)))))
15,-59049,-((~(-(~(True))))**((~((~(True))*(~(True))))*(~(True))))
15,-59050,~((~(-(~(True))))**((~((~(True))*(~(True))))*(~(True))))
15,-7625597484988,~(((True)-(~(True)))**(((True)-(~(True)))**((True)-(~(True)))))
15,16383,~((~((True)-(~(True))))**(~((~(True))**((True)-(~(True))))))
15,262143,~((~((True)-(~(True))))**((~(-(~(True))))**(-(~(True)))))
15,3125,-((~((~(True))*(~(True))))**(-(~((~(True))*(~(True))))))
15,3124,~((~((~(True))*(~(True))))**(-(~((~(True))*(~(True))))))
15,-15625,-((~((~(True))*(~(True))))**((~(-(~(True))))*(~(True))))
15,-15626,~((~((~(True))*(~(True))))**((~(-(~(True))))*(~(True))))
15,-2401,-((~((~(True))**((True)-(~(True)))))**((~(True))*(~(True))))
15,-2402,~((~((~(True))**((True)-(~(True)))))**((~(True))*(~(True))))
15,4913,-((~((~(True))**((~(True))*(~(True)))))**((True)-(~(True))))
15,4912,~((~((~(True))**((~(True))*(~(True)))))**((True)-(~(True))))
15,999,~((~((~(-(~(True))))**(-(~(True)))))**((True)-(~(True))))
15,-1001,~(((~((~(True))*(~(True))))*(~(True)))**((True)-(~(True))))
15,-225,-((~(-((~(True))**((~(True))*(~(True))))))**(-(~(True))))
15,-226,~((~(-((~(True))**((~(True))*(~(True))))))**(-(~(True))))
